id,name,Result
117,Five of Boston,is found in movements table
117,7532,is added in human_movement table
117,7532,is found in human_movement table
7898,Bill Viola,✅ Found to fetch entity
118,new media art,is added movements table
118,new media art,is found in movements table
118,7898,is added in human_movement table
118,7898,is found in human_movement table
3569,El Lissitzky,✅ Found to fetch entity
50,Constructivism,is found in movements table
50,3569,is added in human_movement table
50,3569,is found in human_movement table
89,Suprematism,is found in movements table
89,3569,is added in human_movement table
89,3569,is found in human_movement table
3748,Franz Marc,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,3748,is added in human_movement table
7,3748,is found in human_movement table
3918,Georges Méliès,✅ Found to fetch entity
4293,Ben Nicholson,✅ Found to fetch entity
64,abstract art,is found in movements table
64,4293,is added in human_movement table
64,4293,is found in human_movement table
5640,Frank Stella,✅ Found to fetch entity
119,Post-painterly Abstraction,is added movements table
119,Post-painterly Abstraction,is found in movements table
119,5640,is added in human_movement table
119,5640,is found in human_movement table
104,Minimalism,is found in movements table
104,5640,is added in human_movement table
104,5640,is found in human_movement table
6953,Zaha Hadid,✅ Found to fetch entity
120,deconstructivism,is added movements table
120,deconstructivism,is found in movements table
120,6953,is added in human_movement table
120,6953,is found in human_movement table
32041,Robert Altman,✅ Found to fetch entity
208,Diane Arbus,✅ Found to fetch entity
4278,Louise Nevelson,✅ Found to fetch entity
87,abstract expressionism,is found in movements table
87,4278,is added in human_movement table
87,4278,is found in human_movement table
6533,Ossip Zadkine,✅ Found to fetch entity
1,Cubism,is found in movements table
1,6533,is added in human_movement table
1,6533,is found in human_movement table
121776,Shel Silverstein,✅ Found to fetch entity
649,Christian Boltanski,✅ Found to fetch entity
48,contemporary art,is found in movements table
48,649,is added in human_movement table
48,649,is found in human_movement table
1104,Eduardo Chillida,✅ Found to fetch entity
64,abstract art,is found in movements table
64,1104,is added in human_movement table
64,1104,is found in human_movement table
2349,Juan Gris,✅ Found to fetch entity
1,Cubism,is found in movements table
1,2349,is added in human_movement table
1,2349,is found in human_movement table
3408,Marie Laurencin,✅ Found to fetch entity
2,Fauvism,is found in movements table
2,3408,is added in human_movement table
2,3408,is found in human_movement table
1,Cubism,is found in movements table
1,3408,is added in human_movement table
1,3408,is found in human_movement table
3742,Giacomo Manzù,✅ Found to fetch entity
4305,Vaslav Nijinsky,✅ Found to fetch entity
5366,Ben Shahn,✅ Found to fetch entity
65,social realism,is found in movements table
65,5366,is added in human_movement table
65,5366,is found in human_movement table
46487,Roger Waters,✅ Found to fetch entity
624,Umberto Boccioni,✅ Found to fetch entity
44,Futurism,is found in movements table
44,624,is added in human_movement table
44,624,is found in human_movement table
855,Bernard Buffet,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,855,is added in human_movement table
7,855,is found in human_movement table
1741,Jacob Epstein,✅ Found to fetch entity
1973,Robert Frank,✅ Found to fetch entity
1993,Lucian Freud,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,1993,is added in human_movement table
7,1993,is found in human_movement table
121,School of London,is added movements table
121,School of London,is found in movements table
121,1993,is added in human_movement table
121,1993,is found in human_movement table
2681,Ferdinand Hodler,✅ Found to fetch entity
41,Art Nouveau,is found in movements table
41,2681,is added in human_movement table
41,2681,is found in human_movement table
11,Symbolism,is found in movements table
11,2681,is added in human_movement table
11,2681,is found in human_movement table
4908,Hans Richter,✅ Found to fetch entity
22,Dada,is found in movements table
22,4908,is added in human_movement table
22,4908,is found in human_movement table
1,Cubism,is found in movements table
1,4908,is added in human_movement table
1,4908,is found in human_movement table
12594,Paul Bowles,✅ Found to fetch entity
32,Beat Generation,is found in movements table
32,12594,is added in human_movement table
32,12594,is found in human_movement table
90865,D. W. Griffith,✅ Found to fetch entity
1573,Robert Doisneau,✅ Found to fetch entity
5804,Yves Tanguy,✅ Found to fetch entity
3,Surrealism,is found in movements table
3,5804,is added in human_movement table
3,5804,is found in human_movement table
3,Surrealism,is found in movements table
5804,Surrealism,"UNIQUE constraint failed: human_movement.human_id, human_movement.movement_id"
8233,John Heartfield (Helmut Herzfeld),✅ Found to fetch entity
22,Dada,is found in movements table
22,8233,is added in human_movement table
22,8233,is found in human_movement table
35439,Derek Jarman,✅ Found to fetch entity
370,Jean-Michel Basquiat,✅ Found to fetch entity
96,neo-expressionism,is found in movements table
96,370,is added in human_movement table
96,370,is found in human_movement table
31,primitivism,is found in movements table
31,370,is added in human_movement table
31,370,is found in human_movement table
1485,Paul Delvaux,✅ Found to fetch entity
1935,Jean-Louis Forain,✅ Found to fetch entity
2525,Hans Hartung,✅ Found to fetch entity
